text,author,likes,video_title,video_id,published_at,source,sentiment_score,sentiment_category
Keep up the good work ❤❤,@amnaalielkhidir8972,15,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-09-29T10:14:17Z,youtube,0.4404,positive
I love this explanation. And thanks for increasing the volume,@SOTMOH.,8,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-09-29T14:07:11Z,youtube,0.7964,positive
G'day. Love your work Doc,@MyGirlWaffles,7,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-09-29T10:23:36Z,youtube,0.6369,positive
Love your work!,@chamlinnouri,1,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-10-02T07:48:50Z,youtube,0.6696,positive
We really appreciate your videos. Continue to hit 🎯 us with them . Thank you,@muhammadahmadmaisakala585,0,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-10-08T07:06:57Z,youtube,0.6697,positive
Very timely. Well done! 😊,@Jaelri,4,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-09-29T12:38:02Z,youtube,0.396,positive
Amazing explanation ❤❤❤❤❤❤,@nashmilrasul9106,1,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-09-29T10:52:05Z,youtube,0.5859,positive
Concise and detailing,@victorokene6972,0,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-10-04T22:45:30Z,youtube,0.0,neutral
Ty professor please more pharmacology videos ty and can you go over cox 1 and cox 2 please ty,@Djm9393,2,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-09-29T16:57:49Z,youtube,0.8985,positive
❤ a great thanks,@ShadabNasiri-v5e,1,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-09-29T12:24:25Z,youtube,0.7906,positive
I just took some and now instantly have autism,@307-Cowboy,4,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-09-29T15:17:50Z,youtube,0.0,neutral
Can you guys do something on cerebrovascular diseases? I’m studying cardiovascular sonography.,@sugar_spicex,0,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-10-08T02:58:39Z,youtube,0.0,neutral
❤💯,@ghfranali-vq6cy,1,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-09-29T10:30:27Z,youtube,0.0,neutral
"Thank you. How 'bout the Ibuprofen, that one is the same?",@MiguelAngelCastroPerez360,2,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-09-29T12:42:33Z,youtube,0.3612,positive
"Oh, so you're saying there are cord blood studies done. I've been unable to locate the research results. Do you have the specific title of it?",@rumakingthatup,1,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-09-29T16:36:07Z,youtube,0.0,neutral
Paracetamol ❤❤❤❤,@amnaalielkhidir8972,1,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-09-29T10:13:59Z,youtube,0.0,neutral
Hey doc I am from India and I have a question is how some warming foods (foods which creates heating effects in our body) can induce the abortion in a pregnant woman if he has a pregnancy of less than 3-4 weeks,@studyhub-j7i,1,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-09-29T11:52:39Z,youtube,0.4019,positive
"Just wondering if you can help me doc? Based on the new (imaginary) evidence that paracetamol causes autism, does that mean N-acetylcysteine is the reversal agent for autism (side note for the comments, not that it needs a reversal agent, it is a medical condition and learning difference like any other and many wonderful and amazing humans have it!)",@JohnMcGann90,1,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-09-30T04:02:27Z,youtube,0.9184,positive
Why is Ron Weasley talking about paracetamol,@NoorulainRaja,0,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-10-13T14:32:38Z,youtube,0.0,neutral
Is he Ron Wesley??,@yazanzanin,0,#Paracetamol/ #Acetaminophen: explained in 2 minutes,StQi1yXhG40,2025-10-03T11:20:34Z,youtube,0.0,neutral
Must be a slow day for news,@drive1378,28,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-09-22T20:40:05Z,youtube,0.0,neutral
Thx for information,@KauserJabeen-o9d,0,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-10-11T12:58:52Z,youtube,0.3612,positive
"Paracetamol was first synthesized in 1878 by Harmon Northrop Morse. It was later administered to humans in 1887 by pharmacologist Joseph von Mering.
Individuals displaying the signs of autism have been identified in literature from the 1700s.
Help me understand how Paracetamol (Tylenol) caused autism 100s  years before it was invented?",@alba-z5v,52,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-09-22T21:05:36Z,youtube,0.4019,positive
There's always got to be something to keep people scared,@Pyrothekilla,11,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-09-22T20:56:20Z,youtube,-0.4404,negative
did he really just say paracetamol is the most effective pain relief ? what is he talking about paracetamol is litterally a placebo.,@RealGreaseMonkeyGarage,0,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-11-22T02:38:11Z,youtube,0.4902,positive
Seems like a bit of a reach without a bit more context. Like what the study found and why they have linked the two.,@Neeco40,6,What evidence says about paracetamol&#39;s link with autism,HaOXhfoaZ2A,2025-09-22T20:59:17Z,youtube,0.6573,positive
